Towar:Kod;Ilosc;NumerArkusza;NumerWArkuszu
0025882;1;1;1644171799;
0025888;1;1;1644171806;
0042481;1;1;1644173208;
0025888;1;2;1644177672;
0042402;1;2;1644177723;
0042404;1;2;1644177724;
0042405;1;2;1644177724;
0042406;1;2;1644177725;
0042407;1;2;1644177725;
0042408;1;2;1644177726;
0042409;1;2;1644177726;
0042410;1;2;1644177726;
0042411;1;2;1644177727;
0042412;1;2;1644177727;
0042413;1;2;1644177727;
0042414;1;2;1644177728;
0042415;1;2;1644177728;
0042416;1;2;1644177728;
0042417;1;2;1644177728;
0042418;1;2;1644177728;
0042419;1;2;1644177729;
0042420;1;2;1644177729;
0042421;1;2;1644177729;
0042422;1;2;1644177729;
0042424;1;2;1644177730;
0042425;1;2;1644177730;
0042426;1;2;1644177730;
0042427;1;2;1644177730;
0042400;1;2;1644177732;
0025882;1;2;1644177737;
0014700;1;2;1644177742;
0014701;1;2;1644177743;
0014703;1;2;1644177744;
0014704;1;2;1644177745;
0014705;1;2;1644177745;
0014706;1;2;1644177745;
0014707;1;2;1644177745;
0014708;1;2;1644177746;
0014709;1;2;1644177746;
0014710;1;2;1644177746;
0014711;1;2;1644177746;
0014712;1;2;1644177747;
0014713;1;2;1644177747;
0014714;1;2;1644177747;
0014715;1;2;1644177747;
0014716;1;2;1644177747;
0014717;1;2;1644177748;
0014718;1;2;1644177748;
0014719;1;2;1644177748;
0014702;1;2;1644177751;
0014720;1;2;1644177752;
0014721;1;2;1644177753;
0014723;1;2;1644177753;
0014724;1;2;1644177754;
0014722;1;2;1644177755;
0042400;1;2;1644177767;
0042404;1;2;1644177768;
0040201;1;2;1644177781;
0040202;1;2;1644177781;
0040203;1;2;1644177782;
0040204;1;2;1644177783;
0040205;1;2;1644177783;
0040206;1;2;1644177784;
0040207;1;2;1644177785;
0040208;1;2;1644177786;
0040209;1;2;1644177786;
0040210;1;2;1644177786;
0040211;1;2;1644177787;
0040212;1;2;1644177787;
0040213;1;2;1644177788;
0040214;1;2;1644177788;
0040215;1;2;1644177789;
0040216;1;2;1644177789;
0040217;1;2;1644177789;
0040218;1;2;1644177789;
0040219;1;2;1644177790;
0040220;1;2;1644177790;
0040221;1;2;1644177790;
0040222;1;2;1644177790;
0040223;1;2;1644177790;
0040224;1;2;1644177791;
0040200;1;2;1644177792;
0031800;1;2;1644177797;
0031801;1;2;1644177797;
0031803;1;2;1644177798;
0031804;1;2;1644177799;
0031805;1;2;1644177799;
0031806;1;2;1644177800;
0031807;1;2;1644177800;
0031810;1;2;1644177800;
0031815;1;2;1644177801;
0031816;1;2;1644177801;
0031817;1;2;1644177801;
0031818;1;2;1644177802;
0031820;1;2;1644177802;
0031821;1;2;1644177802;
0031822;1;2;1644177803;
0031826;1;2;1644177803;
0031827;1;2;1644177803;
0031828;1;2;1644177803;
0031829;1;2;1644177804;
0031830;1;2;1644177804;
0031831;1;2;1644177804;
0031832;1;2;1644177804;
0031833;1;2;1644177804;
0031835;1;2;1644177805;
0031802;1;2;1644177806;
0040201;1;2;1644177810;
0040202;1;2;1644177811;
0040203;1;2;1644177811;
0040204;1;2;1644177812;
0040205;1;2;1644177812;
0040206;1;2;1644177813;
0040207;1;2;1644177813;
0040208;1;2;1644177814;
0040209;1;2;1644177814;
0040210;1;2;1644177814;
0040211;1;2;1644177815;
0040212;1;2;1644177815;
0040213;1;2;1644177815;
0040214;1;2;1644177815;
0040215;1;2;1644177816;
0040216;1;2;1644177816;
0040217;1;2;1644177816;
0040218;1;2;1644177816;
0040219;1;2;1644177817;
0040220;1;2;1644177817;
0040221;1;2;1644177817;
0040222;1;2;1644177817;
0040223;1;2;1644177817;
0040224;1;2;1644177818;
0040200;1;2;1644177819;
0040201;1;2;1644177825;
0040202;1;2;1644177826;
0040203;1;2;1644177826;
0040204;1;2;1644177826;
0040205;1;2;1644177826;
0040206;1;2;1644177827;
0040207;1;2;1644177827;
0040208;1;2;1644177827;
0040209;1;2;1644177827;
0040210;1;2;1644177827;
0040211;1;2;1644177828;
0040212;1;2;1644177828;
0040213;1;2;1644177829;
0040214;1;2;1644177829;
0040215;1;2;1644177831;
0040216;1;2;1644177831;
0040217;1;2;1644177831;
0040218;1;2;1644177831;
0040219;1;2;1644177832;
0040220;1;2;1644177832;
0040221;1;2;1644177833;
0040222;1;2;1644177834;
0040223;1;2;1644177834;
0040224;1;2;1644177835;
0040200;1;2;1644177836;
0068401;1;2;1644177850;
0068402;1;2;1644177850;
0068403;1;2;1644177851;
0068404;1;2;1644177851;
0068405;1;2;1644177852;
0068406;1;2;1644177852;
0068407;1;2;1644177853;
0068408;1;2;1644177853;
0068409;1;2;1644177854;
0068410;1;2;1644177854;
0068411;1;2;1644177855;
0068412;1;2;1644177855;
0068413;1;2;1644177856;
0068414;1;2;1644177856;
0068415;1;2;1644177857;
0068416;1;2;1644177857;
0068417;1;2;1644177858;
0068418;1;2;1644177858;
0068419;1;2;1644177858;
0068420;1;2;1644177859;
0068421;1;2;1644177859;
0068422;1;2;1644177860;
0068423;1;2;1644177860;
0068424;1;2;1644177861;
0068400;1;2;1644177862;
0043901;1;2;1644177866;
0043902;1;2;1644177867;
0043903;1;2;1644177867;
0043904;1;2;1644177868;
0043905;1;2;1644177868;
0043900;1;2;1644177870;
0043906;1;2;1644177871;
0043907;1;2;1644177872;
0043909;1;2;1644177872;
0043910;1;2;1644177873;
0043911;1;2;1644177873;
0043912;1;2;1644177874;
0043913;1;2;1644177874;
0043914;1;2;1644177875;
0043915;1;2;1644177875;
0043916;1;2;1644177876;
0043917;1;2;1644177876;
0043918;1;2;1644177877;
0043919;1;2;1644177877;
0043920;1;2;1644177877;
0043921;1;2;1644177878;
0043922;1;2;1644177878;
0043923;1;2;1644177879;
0043924;1;2;1644177879;
0043908;1;2;1644177880;
0014701;1;2;1644177894;
0014702;1;2;1644177895;
0014703;1;2;1644177896;
0014704;1;2;1644177896;
0014705;1;2;1644177897;
0014706;1;2;1644177897;
0014707;1;2;1644177898;
0014708;1;2;1644177898;
0014709;1;2;1644177898;
0014710;1;2;1644177898;
0014711;1;2;1644177899;
0014712;1;2;1644177899;
0014713;1;2;1644177899;
0014714;1;2;1644177900;
0014715;1;2;1644177900;
0014716;1;2;1644177900;
0014717;1;2;1644177901;
0014718;1;2;1644177901;
0014719;1;2;1644177902;
0014720;1;2;1644177902;
